#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
filtered_barcode04_extracted_plasmids.fastq	00155e6d-6498-4041-912e-e8c314ed1349	886	1694	+	blaCMY-128_1	133-952/1146	.=======/====..	31/47	69.02	69.09	resfinder	KM985466	blaCMY-128	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefotaxime;Cefoxitin;Ceftazidime;Piperacillin;Piperacillin+Tazobactam;Ticarcillin;Ticarcillin+Clavulanic_acid
filtered_barcode04_extracted_plasmids.fastq	001816a1-28f3-43e3-8b3f-66f18421685a	2001	2353	+	tet(34)_1	66-421/465	.=======/=====.	6/7	75.48	72.07	resfinder	AB061440	tet(34)	
filtered_barcode04_extracted_plasmids.fastq	003ea85c-4e31-4f03-8b90-a5f36af0c66c	2	1135	+	mdf(A)_1	130-1229/1233	.=======/======	30/50	88.56	91.07	resfinder	Y08743	mdf(A)	
filtered_barcode04_extracted_plasmids.fastq	00528728-eaea-4bac-81e1-bf50968b3922	504	1450	+	blaACT-6_1	139-1097/1146	.=======/======	47/88	79.32	67.50	resfinder	FJ237366	blaACT-6	
filtered_barcode04_extracted_plasmids.fastq	0055085d-20a8-4d9f-966e-54e9ba389eaa	1531	2758	+	mdf(A)_1	1-1211/1233	========/======	43/91	95.21	86.40	resfinder	Y08743	mdf(A)	
filtered_barcode04_extracted_plasmids.fastq	007ef44c-79f9-4d56-ab60-40281da147d5	24	1520	+	lsa(A)_1	8-1497/1497	========/======	54/85	96.93	90.56	resfinder	AY225127	lsa(A)	Lincomycin;Clindamycin;Dalfopristin;Pristinamycin_IIA;Virginiamycin_M
filtered_barcode04_extracted_plasmids.fastq	00927295-d784-4c5f-abda-5e37d5f51b25	1936	2996	-	mdf(A)_1	146-1233/1233	.=======/======	29/47	85.24	91.08	resfinder	Y08743	mdf(A)	
filtered_barcode04_extracted_plasmids.fastq	00b5f00a-c50d-4363-8b31-21b9a2a94b57	3289	4464	+	mdf(A)_1	4-1233/1233	========/======	69/190	89.86	73.88	resfinder	Y08743	mdf(A)	
filtered_barcode04_extracted_plasmids.fastq	00bfac24-4d54-4394-9ef2-967efe9b694d	3453	4510	+	blaCMY-82_1	76-1146/1146	========/======	36/75	89.62	67.33	resfinder	KJ207203	blaCMY-82	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefotaxime;Cefoxitin;Ceftazidime;Piperacillin;Piperacillin+Tazobactam;Ticarcillin;Ticarcillin+Clavulanic_acid
filtered_barcode04_extracted_plasmids.fastq	00defe53-2a50-47a7-b1df-80ab54815eaa	839	2037	-	mdf(A)_1	11-1229/1233	========/======	49/90	94.40	85.09	resfinder	Y08743	mdf(A)	
filtered_barcode04_extracted_plasmids.fastq	00f9ed50-458a-497c-be33-c5690bc9d3c4	802	2033	+	mdf(A)_1	1-1230/1233	========/======	46/88	96.27	86.59	resfinder	Y08743	mdf(A)	
filtered_barcode04_extracted_plasmids.fastq	01390ac0-86b4-4316-bf2f-279485c0293c	3200	4204	+	mdf(A)_1	1-1004/1233	========/====..	30/53	79.32	89.62	resfinder	Y08743	mdf(A)	
filtered_barcode04_extracted_plasmids.fastq	013cec5e-ae63-4279-b518-e373db78dff9	2405	2756	+	tet(34)_1	66-421/465	.=======/=====.	4/8	75.27	72.91	resfinder	AB061440	tet(34)	
filtered_barcode04_extracted_plasmids.fastq	01406438-9d8f-4728-9ea6-a41ceffa580d	2412	3413	+	blaCMY-83_1	133-1146/1146	.=======/======	30/60	85.34	68.50	resfinder	JX440351	blaCMY-83	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefotaxime;Cefoxitin;Ceftazidime;Piperacillin;Piperacillin+Tazobactam;Ticarcillin;Ticarcillin+Clavulanic_acid
filtered_barcode04_extracted_plasmids.fastq	0141380e-3c15-4351-8586-dfb475e47a18	1607	2834	+	mdf(A)_1	1-1233/1233	========/======	42/69	97.00	88.78	resfinder	Y08743	mdf(A)	
filtered_barcode04_extracted_plasmids.fastq	014b7209-aa9f-4056-8546-478367d4cbb7	3203	4146	-	blaACT-9_1	158-1103/1143	.=======/======	35/72	79.53	67.38	resfinder	HQ693810	blaACT-9	
filtered_barcode04_extracted_plasmids.fastq	015ed1e1-8fbf-4b21-bebf-9203b8f706fa	2338	3290	+	blaCFE-1_1	142-1097/1146	.=======/======	38/69	80.28	68.96	resfinder	AB107899	blaCFE-1	
filtered_barcode04_extracted_plasmids.fastq	0169ae5e-6d77-4df0-922a-1543bd2e79c8	2268	3466	-	mdf(A)_1	1-1232/1233	========/======	37/55	96.35	89.54	resfinder	Y08743	mdf(A)	
filtered_barcode04_extracted_plasmids.fastq	016bc491-12a9-4f25-9e54-318f14411bb8	2631	3866	+	mdf(A)_1	1-1233/1233	========/======	34/55	97.89	91.20	resfinder	Y08743	mdf(A)	
filtered_barcode04_extracted_plasmids.fastq	016ebfd8-6a87-41f6-a6d6-5ee2f066ff36	1655	2731	-	blaCMY-39_1	37-1100/1146	========/======	31/57	90.92	69.06	resfinder	AB372224	blaCMY-39	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefotaxime;Cefoxitin;Ceftazidime;Piperacillin;Piperacillin+Tazobactam;Ticarcillin;Ticarcillin+Clavulanic_acid
